"node_id","node_type","all_time_communities","slice_1650_1699","slice_1675_1724","slice_1700_1749","slice_1725_1774","slice_1750_1799","slice_1775_1824","slice_1800_1849","slice_1825_1874","slice_1850_1899","slice_1875_1924","publication_communities"
"Thomas Folkes Claxton","author",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
"Richard C. Maclurin, M. A., LL. D.","author",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"A. A. Campbell Swinton.","author",29,NA,NA,NA,NA,NA,NA,NA,NA,10,27,NA
"Hon. C. A. Parsons, C. B., F. R. S.","author",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA
"R. B. Denison, M. Sc., Ph. D.,","author",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"B. D. Steele, D. Sc.","author",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"Sir James Dewar, M. A., Sc. D., LL. D., F. R. S.,","author",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA
"Humphrey Owen Jones, M. A., D. Sc.,","author",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA
"W. C. D. Whetham, M. A., F. R. S.","author",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA
"H. L. Callender, M. A., LL. D., F. R. S.","author",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA
"A. Fowler, A. R. C. S.","author",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA
"H. F. Newall, F. R. S.","author",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA
"Sir William Huggins, K. C. B., O. M., D. C. L., F. R. S.","author",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA
"Professor Percival Lowell","author",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA
"Sir Norman Lockyer, K. C. B., F. R. S.","author",28,NA,NA,NA,NA,NA,NA,NA,NA,11,26,NA
"William A. Bone, D. Sc., F. R. S.","author",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA
"Richard V. Wheeler, B.Sc.","author",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA
"W. Tement Cooke, D. Sc.","author",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"Earl of Berkeley","author",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA
"E. G. J. Hartley, B. A. (Oxon)","author",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA
"T. H. Havelock, M. A., D. Sc.","author",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"W. Burnside, F. R. S.","author",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA
"Will Spens, B. A.","author",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA
"W. C. D. Whetham, F. R. S.","author",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA
"Walter Makower","author",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"Charles G. Barkla, D. Sc. (Liverpool), M. Sc. (Victoria), B. A. (King&apos;s College, Cambridge)","author",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
"Professor J. J. Thomson, F. R. S.","author",20,NA,NA,NA,NA,NA,NA,NA,NA,12,20,NA
"George W. Walker, M. A., A. R. C. Sc.","author",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"Professor A. E. H. Love, F. R. S.","author",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"Meyer Wilderman, Ph. D., B. Sc. (Oxon.)","author",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA
"Dr. Ludwig Mond, F. R. S.","author",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA
"James Muir, D. Sc., M. A.","author",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"Professor A. Gray, F. R. S.","author",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"Professor F. T. Trouton, F. R. S.","author",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA
"Miss B. Pool.","author",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA
"Herbert Stansfield, B. Sc.","author",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"G. Udny Yule","author",37,NA,NA,NA,NA,NA,NA,NA,NA,13,35,NA
"Professor O. Henrici, F. R. S.","author",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA
"John Milne, F. R. S.","author",38,NA,NA,NA,NA,NA,NA,NA,NA,14,36,NA
"W. R. Bousfield, M. A., K. C.","author",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"Bertram Hopkinson, M. A., M. I. C. E.","author",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
"G. Marconi, LL. D., D. Sc.","author",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA
"Dr. J. A. Fleming, F. R. S.","author",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA
"Sir Norman Lockyer, K. C. B., F. R. S., LL. D., Sc. D.","author",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA
"Hon. R. J. Strutt, F. R. S.","author",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA
"Lord Rayleigh, O. M., Pres. R. S.","author",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA
"Dugald Clerk","author",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA
"the Hon. C. A. Parsons, C. B., F. R. S.","author",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA
"L. H. Walter, M. A.","author",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA
"B. Mouat Jones, B. A. (Oxon.)","author",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA
