id,type
"Theodore Rettie, D. Sc.",author
Pierce Dodd,author
"late Cosmo Innes Burton, B. Sc., F. C. S.",author
"Sir David Bruce, F. R. S.",author
Mr. De Gennes,author
"George C. Simpson, B. Sc. ",author
"Professor W. Grylls Adams, M. A., F. R. S.",author
William Whewell,author
Ralph Bigland,author
"J. A. Gray, B. Sc. (Melbourne).",author
"Professor R. B. Clifton, F. R. S.",author
John Davidson,author
Erasmus Wilson,author
"A. Alcock, M. B.",author
J. A. Mallet,author
"Colonel Sir David Bruce, C. B., F. R. S.",author
"Dr. A. A. Rambaut, F. R. S.",author
Professor Larmor Sec. R. S.,author
Mr. Hook,author
"H. H. Paine, B. A.,",author
Percival Pott,author
J. W. Garret,author
"Captain E. D. W. Greig, I. M. S.",author
A. S. Atkinson,author
J. H. Priestley,author
Richard Wright,author
"Alexander Edington, M. D. Edin., D. P. H. Edin. and Glasgow, F. R. S. Edin.",author
Dr. F. Ransom.,author
Mr. Achard,author
Matthew Dudley,author
"John G. McKendrick, M. D., F. R. S.",author
W. Marcet,author
"J. Rose Bradford, M. D., F. R. S.",author
John Walsh,author
"G. H. Bryan, Sc. D., F. R. S.",author
Keane Fitzgerald,author
Dr. Sloane,author
Mr. Sturges,author
"Percy F. Frankland, Ph. D., B. Sc. (Lond.), A. R. S. M., F. I. C.",author
"James Crichton Browne, M. D., LL. D., F. R. S.",author
"H. S. Ranken, M. B. Glasg., M. R. C. P. Lond., Captain R. A. M. C.",author
"W. Jevons, A. R. C. Sc., B. Sc.",author
"Percy F. Frankland. Ph. D., B. Sc., F. R. S.",author
J. Thorpe,author
Benjamin Count,author
"John Parkin, M. A., Trin. Coll., Camb.",author
James Clerk Maxwell,author
"W. Craig Henderson, M. A., B. Sc.",author
"W. N. Hartley, F. R. S., A. R. C. Sc. I., F. I. C.",author
"Marie A. Lewenz, B. A.",author
"W. C. Willamson, LL. D., F. R. S.",author
J. Hopkins,author
"L. Bradshaw, B.Sc.",author
"J. Erskine-Murray, D. Sc., F. R. S. E.",author
Peter Collison,author
M. A. L. O. des Cloizeaux,author
"A. E. H. Love, F. R. S.",author
W. Savory,author
