target,source,type
rspa_1906_0048,"Wyndham R. Dunstan, M. A., LL. D., F. R. S.",authored
rspa_1906_0048,"B. Mouat Jones, B. A. (Oxon.)",authored
rspa_1906_0049,"Sir Norman Lockyer, K. C. B., F. R. S., LL. D., Sc. D.",authored
rspa_1906_0049,"F. E. Baxandall, A. R. C. S.",authored
rspa_1906_0051,"J. A. Fleming, M. A., D. Sc., F. R. S.",authored
rspa_1906_0053,"Morris W. Travers, D. Sc., F. R. S.",authored
rspa_1906_0054,Professor Ernest Wilson,authored
rspa_1906_0054,"Sir William H. Preece, K. C. B., F. R. S.",authored
rspa_1906_0055,"Edgar Philip Perman, D. Sc.",authored
rspa_1906_0055,"John Hughes Davies, B. Sc.",authored
rspa_1906_0055,"Principal E. H. Griffiths, F. R. S.",authored
rspa_1906_0056,"William J. S. Lockyer M. A., Ph. D., F. R. A. S.",authored
rspa_1906_0056,"Sir Norman Lockyer, K. C. B., LL. D., Sc. D., F. R. S.",authored
rspa_1906_0057,"G. Quincke, For. Mem. R. S.",authored
rspa_1906_0058,Earl of Berkeley,authored
rspa_1906_0058,E. G. J. Hartley,authored
rspa_1906_0058,"W. C. D. Whetham, F. R. S.",authored
rspa_1906_0059,"W. N. Shaw, Sc. D., F. R. S.",authored
rspa_1906_0060,W. B. Huff,authored
rspa_1906_0060,"Professor J. J. Thomson, F. R. S.",authored
rspa_1906_0061,Professor G. F. Hull,authored
rspa_1906_0061,"Professor J. Larmor, Sec. R. S.",authored
rspa_1906_0062,"John Johnston, B. Sc., A. I. C.",authored
rspa_1906_0062,"Professor James Walker, F. R. S.",authored
rspa_1906_0063,"Alexander Charles Cumming, D. Sc.",authored
rspa_1906_0063,"Professor James Walker, F. R. S.",authored
rspa_1906_0064,"Professor James Walker, F. R. S.",authored
rspa_1906_0065,"The Hon. R. J. Strutt, F. R. S.",authored
rspa_1906_0066,"Sir William Crookes, D. Sc., F. R. S.",authored
rspa_1906_0067,"Professor James Walker, F. R. S.",authored
rspa_1906_0068,"James N. Shoolbred, B. A. (Lond.), M. Inst. C. E.",authored
rspa_1906_0068,"Lord Kelvin, F. R. S.",authored
rspa_1906_0069,"P. Phillips, B. A., M. Sc.",authored
rspa_1906_0069,"Professor J. J. Thomson, F. R. S.",authored
rspa_1906_0070,"O. W. Richardson, M. A.",authored
rspa_1906_0070,"Professor J. J. Thomson, F. R. S.",authored
rspa_1906_0071,"Albert Campbell, B. A.",authored
rspa_1906_0071,"Dr. R. T. Glazebrook, F. R. S.",authored
rspa_1906_0072,"W. H. Logeman, M. A.",authored
rspa_1906_0072,"Professor J. J. Thomson, F. R. S.",authored
rspa_1906_0073,"Sir A. Noble, Bart., K. C. B., D. Sc. (Oxon), D. C. L., F. R. S.",authored
rspa_1906_0074,"J. A. Harker, D. Sc.",authored
rspa_1906_0074,"R. T. Glazebrook, D. Sc., F. R. S.",authored
rspa_1906_0075,"Professor F. W. Dyson, F. R. S.",authored
rspa_1906_0076,"Major G. P. Lenox-Conyngham, R. E.",authored
rspa_1906_0076,"Dr. R. T. Glazebrook, F. R. S.",authored
rspa_1906_0077,"Morris W. Travers, D. Sc., F. R. S.",authored
rspa_1906_0077,Francis L. Usher,authored
rspa_1906_0078,"Sydney Young, D. Sc., F. R. S.",authored
rspa_1906_0079,"Henry E. Armstrong, F. R .S",authored
rspa_1906_0080,"Robert John Caldwell, B. Sc. (Lond.)",authored
rspa_1906_0080,"Professor H. E. Armstrong, F. R. S.",authored
rspa_1906_0081,"Richard C. Maclaurin, M. A., LL. D.",authored
